Date,Country,AreaCode,Area,TotalCases
2020-03-14,Wales,W06000019,Blaenau Gwent,1
2020-03-14,Wales,W06000013,Bridgend,1
2020-03-14,Wales,W06000018,Caerphilly,7
2020-03-14,Wales,W06000015,Cardiff,5
2020-03-14,Wales,W06000010,Carmarthenshire,4
2020-03-14,Wales,W06000008,Ceredigion,0
2020-03-14,Wales,W06000003,Conwy,1
2020-03-14,Wales,W06000004,Denbighshire,0
2020-03-14,Wales,W06000005,Flintshire,1
2020-03-14,Wales,W06000002,Gwynedd,0
2020-03-14,Wales,W06000001,Isle of Anglesey,1
2020-03-14,Wales,W06000024,Merthyr Tydfil,0
2020-03-14,Wales,W06000021,Monmouthshire,4
2020-03-14,Wales,W06000012,Neath Port Talbot,11
2020-03-14,Wales,W06000022,Newport,2
2020-03-14,Wales,W06000009,Pembrokeshire,2
2020-03-14,Wales,W06000023,Powys,5
2020-03-14,Wales,W06000016,Rhondda Cynon Taf,0
2020-03-14,Wales,W06000011,Swansea,14
2020-03-14,Wales,W06000020,Torfaen,0
2020-03-14,Wales,W06000014,Vale of Glamorgan,0
2020-03-14,Wales,W06000006,Wrexham,1
