GSS_CD,GSS_NM,TotalCases
E09000002,Barking and Dagenham,7
E09000003,Barnet,25
E08000016,Barnsley,5
E06000022,Bath and North East Somerset,2
E06000055,Bedford,0
E09000004,Bexley,7
E08000025,Birmingham,8
E06000008,Blackburn with Darwen,0
E06000009,Blackpool,3
E08000001,Bolton,3
E06000058,"Bournemouth, Christchurch and Poole",5
E06000036,Bracknell Forest,5
E08000032,Bradford,6
E09000005,Brent,20
E06000043,Brighton and Hove,10
E06000023,"Bristol, City of",5
E09000006,Bromley,7
E10000002,Buckinghamshire,15
E08000002,Bury,3
E08000033,Calderdale,5
E10000003,Cambridgeshire,7
E09000007,Camden,22
E06000056,Central Bedfordshire,3
E06000049,Cheshire East,1
E06000050,Cheshire West and Chester,4
E06000052,Cornwall and Isles of Scilly,5
E06000047,County Durham,1
E08000026,Coventry,2
E09000008,Croydon,2
E10000006,Cumbria,10
E06000005,Darlington,2
E06000015,Derby,5
E10000007,Derbyshire,11
E10000008,Devon,15
E08000017,Doncaster,2
E06000059,Dorset,1
E08000027,Dudley,4
E09000009,Ealing,20
E06000011,East Riding of Yorkshire,3
E10000011,East Sussex,1
E09000010,Enfield,6
E10000012,Essex,14
E08000037,Gateshead,1
E10000013,Gloucestershire,6
E09000011,Greenwich,13
E09000012,Hackney and City of London,13
E06000006,Halton,0
E09000013,Hammersmith and Fulham,19
E10000014,Hampshire,53
E09000014,Haringey,11
E09000015,Harrow,12
E06000001,Hartlepool,0
E09000016,Havering,5
E06000019,"Herefordshire, County of",1
E10000015,Hertfordshire,32
E09000017,Hillingdon,10
E09000018,Hounslow,10
E06000046,Isle of Wight,2
E09000019,Islington,4
E09000020,Kensington and Chelsea,40
E10000016,Kent,11
E06000010,"Kingston upon Hull, City of",0
E09000021,Kingston upon Thames,2
E08000034,Kirklees,3
E08000011,Knowsley,0
E09000022,Lambeth,26
E10000017,Lancashire,6
E08000035,Leeds,19
E06000016,Leicester,2
E10000018,Leicestershire,6
E09000023,Lewisham,11
E10000019,Lincolnshire,4
E08000012,Liverpool,9
E06000032,Luton,2
E08000003,Manchester,9
E06000035,Medway,2
E09000024,Merton,9
E06000002,Middlesbrough,0
E06000042,Milton Keynes,4
E08000021,Newcastle upon Tyne,4
E09000025,Newham,3
E10000020,Norfolk,1
E06000012,North East Lincolnshire,0
E06000013,North Lincolnshire,2
E06000024,North Somerset,0
E08000022,North Tyneside,2
E10000023,North Yorkshire,7
E10000021,Northamptonshire,9
E06000057,Northumberland,0
E06000018,Nottingham,5
E10000024,Nottinghamshire,6
E08000004,Oldham,6
E10000025,Oxfordshire,24
E06000031,Peterborough,1
E06000026,Plymouth,2
E06000044,Portsmouth,1
E06000038,Reading,3
E09000026,Redbridge,1
E06000003,Redcar and Cleveland,1
E09000027,Richmond upon Thames,2
E08000005,Rochdale,2
E08000018,Rotherham,2
E06000017,Rutland,0
E08000006,Salford,1
E08000028,Sandwell,1
E08000014,Sefton,1
E08000019,Sheffield,12
E06000051,Shropshire,4
E06000039,Slough,3
E08000029,Solihull,0
E10000027,Somerset,2
E06000025,South Gloucestershire,4
E08000023,South Tyneside,0
E06000045,Southampton,1
E06000033,Southend-on-Sea,3
E09000028,Southwark,30
E08000013,St. Helens,1
E10000028,Staffordshire,6
E08000007,Stockport,3
E06000004,Stockton-on-Tees,2
E06000021,Stoke-on-Trent,0
E10000029,Suffolk,3
E08000024,Sunderland,1
E10000030,Surrey,23
E09000029,Sutton,7
E06000030,Swindon,2
E08000008,Tameside,3
E06000020,Telford and Wrekin,0
E06000034,Thurrock,1
E06000027,Torbay,7
E09000030,Tower Hamlets,9
E08000009,Trafford,6
E08000036,Wakefield,2
E08000030,Walsall,5
E09000031,Waltham Forest,2
E09000032,Wandsworth,17
E06000007,Warrington,1
E10000031,Warwickshire,5
E06000037,West Berkshire,3
E10000032,West Sussex,7
E09000033,Westminster,35
E08000010,Wigan,3
E06000054,Wiltshire,5
E06000040,Windsor and Maidenhead,6
E08000015,Wirral,5
E06000041,Wokingham,5
E08000031,Wolverhampton,8
E10000034,Worcestershire,3
E06000014,York,4
